STATE,LOGRECNO,GEOID,GEOGRAPHY NAME
RI,0000001,04000US44,Rhode Island
RI,0000002,04001US44,Rhode Island -- Urban
RI,0000003,04043US44,Rhode Island -- Rural
RI,0000004,040A0US44,Rhode Island -- In metropolitan or micropolitan statistical area
RI,0000005,040C0US44,Rhode Island -- In metropolitan statistical area
RI,0000006,040C1US44,Rhode Island -- In metropolitan statistical area -- in principal city
RI,0000007,040C2US44,Rhode Island -- In metropolitan statistical area -- not in principal city
RI,0000008,05000US44001,"Bristol County, Rhode Island"
RI,0000009,05000US44003,"Kent County, Rhode Island"
RI,0000010,05000US44005,"Newport County, Rhode Island"
RI,0000011,05000US44007,"Providence County, Rhode Island"
RI,0000012,05000US44009,"Washington County, Rhode Island"
RI,0000013,06000US4400105140,"Barrington town, Bristol County, Rhode Island"
RI,0000014,06000US4400109280,"Bristol town, Bristol County, Rhode Island"
RI,0000015,06000US4400173760,"Warren town, Bristol County, Rhode Island"
RI,0000016,06000US4400318640,"Coventry town, Kent County, Rhode Island"
RI,0000017,06000US4400322240,"East Greenwich town, Kent County, Rhode Island"
RI,0000018,06000US4400374300,"Warwick city, Kent County, Rhode Island"
RI,0000019,06000US4400377720,"West Greenwich town, Kent County, Rhode Island"
RI,0000020,06000US4400378440,"West Warwick town, Kent County, Rhode Island"
RI,0000021,06000US4400500000,"County subdivisions not defined, Newport County, Rhode Island"
RI,0000022,06000US4400536820,"Jamestown town, Newport County, Rhode Island"
RI,0000023,06000US4400542400,"Little Compton town, Newport County, Rhode Island"
RI,0000024,06000US4400545460,"Middletown town, Newport County, Rhode Island"
RI,0000025,06000US4400549960,"Newport city, Newport County, Rhode Island"
RI,0000026,06000US4400557880,"Portsmouth town, Newport County, Rhode Island"
RI,0000027,06000US4400570880,"Tiverton town, Newport County, Rhode Island"
RI,0000028,06000US4400711800,"Burrillville town, Providence County, Rhode Island"
RI,0000029,06000US4400714140,"Central Falls city, Providence County, Rhode Island"
RI,0000030,06000US4400719180,"Cranston city, Providence County, Rhode Island"
RI,0000031,06000US4400720080,"Cumberland town, Providence County, Rhode Island"
RI,0000032,06000US4400722960,"East Providence city, Providence County, Rhode Island"
RI,0000033,06000US4400727460,"Foster town, Providence County, Rhode Island"
RI,0000034,06000US4400730340,"Glocester town, Providence County, Rhode Island"
RI,0000035,06000US4400737720,"Johnston town, Providence County, Rhode Island"
RI,0000036,06000US4400741500,"Lincoln town, Providence County, Rhode Island"
RI,0000037,06000US4400751760,"North Providence town, Providence County, Rhode Island"
RI,0000038,06000US4400752480,"North Smithfield town, Providence County, Rhode Island"
RI,0000039,06000US4400754640,"Pawtucket city, Providence County, Rhode Island"
RI,0000040,06000US4400759000,"Providence city, Providence County, Rhode Island"
RI,0000041,06000US4400764220,"Scituate town, Providence County, Rhode Island"
RI,0000042,06000US4400766200,"Smithfield town, Providence County, Rhode Island"
RI,0000043,06000US4400780780,"Woonsocket city, Providence County, Rhode Island"
RI,0000044,06000US4400914500,"Charlestown town, Washington County, Rhode Island"
RI,0000045,06000US4400925300,"Exeter town, Washington County, Rhode Island"
RI,0000046,06000US4400935380,"Hopkinton town, Washington County, Rhode Island"
RI,0000047,06000US4400948340,"Narragansett town, Washington County, Rhode Island"
RI,0000048,06000US4400950500,"New Shoreham town, Washington County, Rhode Island"
RI,0000049,06000US4400951580,"North Kingstown town, Washington County, Rhode Island"
RI,0000050,06000US4400961160,"Richmond town, Washington County, Rhode Island"
RI,0000051,06000US4400967460,"South Kingstown town, Washington County, Rhode Island"
RI,0000052,06000US4400977000,"Westerly town, Washington County, Rhode Island"
RI,0000053,07000US440010514099999,"Barrington town, Barrington town, Bristol County, Rhode Island"
RI,0000054,07000US440010928099999,"Bristol town, Bristol town, Bristol County, Rhode Island"
RI,0000055,07000US440017376099999,"Warren town, Warren town, Bristol County, Rhode Island"
RI,0000056,07000US440031864031240,"Greene CDP, Coventry town, Kent County, Rhode Island"
RI,0000057,07000US440031864099999,"Remainder of Coventry town, Coventry town, Kent County, Rhode Island"
RI,0000058,07000US440032224099999,"East Greenwich town, East Greenwich town, Kent County, Rhode Island"
RI,0000059,07000US440037430074300,"Warwick city, Warwick city, Kent County, Rhode Island"
RI,0000060,07000US440037772099999,"West Greenwich town, West Greenwich town, Kent County, Rhode Island"
RI,0000061,07000US440037844099999,"West Warwick town, West Warwick town, Kent County, Rhode Island"
RI,0000062,07000US440050000099999,"County subdivisions not defined, County subdivisions not defined, Newport County, Rhode Island"
RI,0000063,07000US440053682099999,"Jamestown town, Jamestown town, Newport County, Rhode Island"
RI,0000064,07000US440054240099999,"Little Compton town, Little Compton town, Newport County, Rhode Island"
RI,0000065,07000US440054546045010,"Melville CDP (part), Middletown town, Newport County, Rhode Island"
RI,0000066,07000US440054546050140,"Newport East CDP, Middletown town, Newport County, Rhode Island"
RI,0000067,07000US440054546099999,"Remainder of Middletown town, Middletown town, Newport County, Rhode Island"
RI,0000068,07000US440054996049960,"Newport city, Newport city, Newport County, Rhode Island"
RI,0000069,07000US440055788045010,"Melville CDP (part), Portsmouth town, Newport County, Rhode Island"
RI,0000070,07000US440055788099999,"Remainder of Portsmouth town, Portsmouth town, Newport County, Rhode Island"
RI,0000071,07000US440057088070700,"Tiverton CDP, Tiverton town, Newport County, Rhode Island"
RI,0000072,07000US440057088099999,"Remainder of Tiverton town, Tiverton town, Newport County, Rhode Island"
RI,0000073,07000US440071180033400,"Harrisville CDP, Burrillville town, Providence County, Rhode Island"
RI,0000074,07000US440071180054460,"Pascoag CDP, Burrillville town, Providence County, Rhode Island"
RI,0000075,07000US440071180099999,"Remainder of Burrillville town, Burrillville town, Providence County, Rhode Island"
RI,0000076,07000US440071414014140,"Central Falls city, Central Falls city, Providence County, Rhode Island"
RI,0000077,07000US440071918019180,"Cranston city, Cranston city, Providence County, Rhode Island"
RI,0000078,07000US440072008020260,"Cumberland Hill CDP, Cumberland town, Providence County, Rhode Island"
RI,0000079,07000US440072008072500,"Valley Falls CDP, Cumberland town, Providence County, Rhode Island"
RI,0000080,07000US440072008099999,"Remainder of Cumberland town, Cumberland town, Providence County, Rhode Island"
RI,0000081,07000US440072296022960,"East Providence city, East Providence city, Providence County, Rhode Island"
RI,0000082,07000US440072746015940,"Clayville CDP (part), Foster town, Providence County, Rhode Island"
RI,0000083,07000US440072746027640,"Foster Center CDP, Foster town, Providence County, Rhode Island"
RI,0000084,07000US440072746099999,"Remainder of Foster town, Foster town, Providence County, Rhode Island"
RI,0000085,07000US440073034014860,"Chepachet CDP, Glocester town, Providence County, Rhode Island"
RI,0000086,07000US440073034033040,"Harmony CDP, Glocester town, Providence County, Rhode Island"
RI,0000087,07000US440073034099999,"Remainder of Glocester town, Glocester town, Providence County, Rhode Island"
RI,0000088,07000US440073772099999,"Johnston town, Johnston town, Providence County, Rhode Island"
RI,0000089,07000US440074150099999,"Lincoln town, Lincoln town, Providence County, Rhode Island"
RI,0000090,07000US440075176099999,"North Providence town, North Providence town, Providence County, Rhode Island"
